Street Address,City,ZIP,Groups With Access Code,Access Days Time,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,Latitude,Longitude,ID,EV Connector Types,Facility Type
9000 Magellan Dr,Tehachapi,93561,Public,24 hours daily,,2,,,35.142232,-118.448856,163635,J1772,
105 Chowchilla Bvd,Chowchilla,93610,Public,24 hours daily,,,1,,37.125443,-120.256979,163636,CHADEMO J1772COMBO,
6316 Sepulveda Blvd,Los Angeles,91411,Public,24 hours daily,,1,,,34.1852909,-118.4663185,163653,J1772,
57271 Twentynine Palms Highway,Yucca Valley,92284,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,2,,,34.122792,-116.414598,163655,J1772,
39399 Cherry Street,Newark,94560,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,5,2,,37.516369,-122.003878,163656,CHADEMO J1772,
320 S Alvarado St,Los Angeles,90057,Public,24 hours daily,,1,,,34.06241,-118.2731616,163680,J1772,
415 Pacific Coast Hwy,Santa Monica,90402,Public,24 hours daily,,2,,,34.024126,-118.513277,163700,J1772,PARK
3090 Glascock Street,Oakland,94601,Public,24 hours daily,,106,,,37.771272,-122.230912,163718,J1772,
43600 Mission Blvd.,Fremont,94539,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,3,,,37.52934,-121.912258,163722,J1772,
235 South Tremont Street,Oceanside,92054,Private,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,8,,,33.192667,-117.378694,163723,J1772,
515 Marin St,Thousand Oaks,91360,Public,24 hours daily,,2,,,34.18387,-118.882399,163724,J1772,
52701 CA-371,Anza,92539,Public,24 hours daily,,,1,,33.540782,-116.740683,163725,CHADEMO J1772COMBO,
155n N Lake Ave,Pasadena,91101,Public,24 hours daily,,2,,,34.148418,-118.133243,163726,J1772,
35 North Lake Avenue,Pasadena,91101,Public,24 hours daily,,2,,,34.146692,-118.133274,163727,J1772,
8191-8371 La Palma Ave,Buena Park,90620,Public - Credit card at all times,24 hours daily,,,4,,33.84785,-117.990308,163743,CHADEMO J1772COMBO,SHOPPING_CENTER
27300 Iris Avenue,Moreno Valley,92555,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,6,,,33.8966492,-117.1860291,163795,J1772,
1860 Spinnaker Drive,Ventura,93001,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,3,,,34.2450473,-119.2664202,163796,J1772,
665 W Lancaster Blvd,Lancaster,93534,Public,24 hours daily,,1,,,34.698696,-118.142044,163798,J1772,
4090 E Commerce Way,Sacramento,95834,Public,24 hours daily,,2,,,38.643591,-121.518417,163799,J1772,
1458 Mercey Springs Rd,Los Banos,93635,Public,24 hours daily,,,1,,37.05529,-120.835156,163800,CHADEMO J1772COMBO,
3644 Overland Ave,Los Angeles,90034,Public,24 hours daily,,1,,,34.022367,-118.409248,163829,J1772,
6529 Pony Express Trail,Pollock Pines,95726,Public,24 hours daily,,1,,,38.763567,-120.575807,163841,J1772,
1 Jelly Belly Ln,Fairfield,94533,Public - Credit card at all times,24 hours daily,,2,4,,38.238356,-122.078738,163948,CHADEMO J1772 J1772COMBO,OFFICE_BLDG
225 Park St,Lakeport,95453,Public - Credit card at all times,24 hours daily,,2,,,39.043559,-122.914319,163949,J1772,MUNI_GOV
57 Russell Rd,Salinas,93906,Public - Credit card at all times,24 hours daily,,1,,,36.732821,-121.648596,163950,J1772,SCHOOL
2611 E Hammond Ave,Fresno,93703,Public - Credit card at all times,24 hours daily,,10,,,36.758972,-119.780238,163952,J1772,PLACE_OF_WORSHIP
6269 E Kings Canyon Rd,Fresno,93727,Public - Credit card at all times,24 hours daily,,10,,,36.73622901,-119.6772485,163953,J1772,PLACE_OF_WORSHIP
14390 County Line Rd,Delano,93215,Public - Credit card at all times,24 hours daily,,2,4,,35.790725,-119.249938,163954,CHADEMO J1772 J1772COMBO,RESTAURANT
1395 Vendels Cir,Paso Robles,93446,Public - Credit card at all times,24 hours daily,,2,,,35.596827,-120.694392,163955,J1772,BREWERY_DISTILLERY_WINERY
3945 Freedom Cir,Santa Clara,95054,Public - Credit card at all times,24 hours daily,,11,,,37.385187,-121.97289,163968,J1772,OFFICE_BLDG
3900 Newpark Mall Rd,Newark,94560,Public - Credit card at all times,24 hours daily,,10,,,37.52473,-122.004795,163969,J1772,SHOPPING_MALL
1600 Rosecrans Ave,Manhattan Beach,90266,Public - Credit card at all times,24 hours daily,,10,,,33.901572,-118.383967,163970,J1772,OFFICE_BLDG
560 Cottonwood Dr,Milpitas,95035,Public - Credit card at all times,24 hours daily,,6,,,37.40347,-121.91366,163975,J1772,OFFICE_BLDG
1710 Automation Pkwy,San Jose,95131,Public - Credit card at all times,24 hours daily,,4,,,37.391928,-121.884691,163976,J1772,OFFICE_BLDG
441 S Barrington Ave,Los Angeles,90049,Public - Credit card at all times,24 hours daily,,6,,,34.060114,-118.468824,163978,J1772,MULTI_UNIT_DWELLING
9045 Lincoln Blvd,Los Angeles,90045,Public - Credit card at all times,24 hours daily,,8,,,33.956006,-118.417252,163979,J1772,COLLEGE_CAMPUS
1301 Hermosa Ave,Hermosa Beach,90254,Public - Credit card at all times,24 hours daily,,8,,,33.863034,-118.401098,163980,J1772,MUNI_GOV
9108 Garvey Ave,Rosemead,91770,Public - Credit card at all times,24 hours daily,,2,,,34.062343,-118.069971,163981,J1772,MUNI_GOV
950 S Grand Ave,Los Angeles,90015,Public - Credit card at all times,24 hours daily,,2,,,34.043329,-118.259525,163982,J1772,BANK
2000 Stadium Way,Los Angeles,90026,Public - Credit card at all times,24 hours daily,,,4,,34.074638,-118.247709,163983,CHADEMO J1772COMBO,HOSPITAL
2300 Empire Ave,Burbank,91504,Public - Credit card at all times,24 hours daily,,6,,,34.190378,-118.335188,163984,J1772,PARKING_GARAGE
22156 Sherman Way,Canoga Park,91303,Public - Credit card at all times,24 hours daily,,6,,,34.200601,-118.610111,163985,J1772,OFFICE_BLDG
29219 Canwood St,Agoura Hills,91301,Public - Credit card at all times,24 hours daily,,4,,,34.148186,-118.762858,163986,J1772,OFFICE_BLDG
30601 Agoura Hills Rd,Agoura Hills,91301,Public - Credit card at all times,24 hours daily,,4,,,34.145698,-118.787491,163987,J1772,OFFICE_BLDG
1540 E. 2nd Street,Beaumont,92223,Public,24 hours daily; for Tesla use only,,,20,,33.9228,-116.9519,164002,TESLA,RESTAURANT
200 Campus Dr,Arvin,93203,Private,,,5,,,35.210277,-118.832618,164018,J1772,MUNI_GOV
17510 US-50,Kyburz,95735,Public,24 hours daily,,,1,,38.796086,-120.146207,164041,CHADEMO J1772COMBO,
103 Taylor Rd,San Francisco,94129,Public,24 hours daily,,2,,,37.801198,-122.459363,164042,J1772,
435 N Euclid Ave,Upland,91786,Public,24 hours daily,,2,,,34.098951,-117.649514,164043,J1772,
10069 Church St,Truckee,96161,Public,24 hours daily,,,1,,39.328884,-120.18252,164062,CHADEMO J1772COMBO,
7919 Folsom Blvd,Sacramento,95826,Public,24 hours daily,,2,,,38.551416,-121.411754,164063,J1772,
7819 Folsom Blvd,Sacramento,95826,Public,24 hours daily,,2,,,38.551089,-121.412247,164064,J1772,
1126 Queens Hwy,Long Beach,90802,Public,24 hours daily,,2,,,33.7526,-118.19079,164065,J1772,
1135 Queens Hwy,Long Beach,90802,Public,24 hours daily,,2,,,33.75235,-118.190919,164066,J1772,
13201 Central Ave,Chino,91710,Public,24 hours daily,,1,,,34.013238,-117.688818,164067,J1772,
13220 Central,Chino,91710,Public,24 hours daily,,1,,,34.013072,-117.691229,164068,J1772,
14500 Van Nuys Blvd,Panorama City,91402,Public,24 hours daily,,1,,,34.246624,-118.448588,164085,J1772,
5411 Etiwanda Avenue,Tarzana,91356,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,11,,,34.1691137,-118.5311145,164094,J1772,
330 S Murphy Ave,Sunnyvale,94086,Public,24 hours daily,,2,,,37.373457,-122.031158,164097,J1772,
180 W Grand Ave,Grover Beach,93449,Public,24 hours daily,,1,,,35.121241,-120.62941,164098,J1772,
Capitol Garage 1303 10th Street,Sacramento,95814,Public,24 hours daily,,2,,,38.578151,-121.493131,164103,J1772,
Memorial Garage 801 14th St,Sacramento,95814,Public,24 hours daily,,2,,,38.580423,-121.48619,164104,J1772,
Old Sacramento Garage 125 I Street,Sacramento,95814,Public,24 hours daily,,2,,,38.583701,-121.502911,164105,J1772,
Tower Bridge Garage 1289 Front Street,Sacramento,95814,Public,24 hours daily,,2,,,38.58061,-121.506386,164107,J1772,
City Hall Garage  939 10th Street,Sacramento,95814,Public,24 hours daily,,2,,,38.581234,-121.49291,164108,J1772,
5617 S Central Ave,Los Angeles,90011,Public,24 hours daily,,1,,,33.991126,-118.256537,164133,J1772,
2199 Campus Dr,El Segundo,90245,Public,24 hours daily,,2,,,33.924851,-118.385706,164146,J1772,
280 El Cerrito Plaza,El Cerrito,94530,Public,24 hours daily; for Tesla use only,,,14,,37.898635,-122.300672,164166,TESLA,SHOPPING_MALL
2700 S Blackstone St,Tulare,93274,Public,24 hours daily,,2,4,,36.181548,-119.330058,164171,CHADEMO J1772 J1772COMBO,TRUCK_STOP
26101 Magic Mountain Pkwy,Valencia,91355,Public,24 hours daily,,4,,,34.428862,-118.594906,164184,J1772,OTHER_ENTERTAINMENT
26455 Rockwell Canyon Rd,Santa Clarita,91355,Public,Garage hours; parking permit required,,51,,,34.407973,-118.569045,164185,J1772,COLLEGE_CAMPUS
26455 Rockwell Canyon Rd,Santa Clarita,91355,Public,24 hours daily; parking permit required,,4,,,34.402311,-118.568547,164186,J1772,COLLEGE_CAMPUS
23923 Creekside Rd,Valencia,91355,Public,Dealership business hours,,2,,,34.419199,-118.553042,164187,J1772,CAR_DEALER
1001 Riverside Ave.,Roseville,95678,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,4,,,38.7286238,-121.2894112,164205,J1772,
2920 dutton ave,Santa Rosa,95407,Public,24 hours daily,,2,,,38.4091,-122.7236,164228,J1772,
1390 N Harbor Blvd,Fullerton,92835,Public,24 hours daily,,1,,,33.88418,-117.924612,164229,J1772,
2701 W Winton Ave,Hayward,94545,Public,24 hours daily,,2,,,37.65112,-122.142555,164230,J1772,
2851 W Winton Ave,Hayward,94545,Public,24 hours daily,,2,,,37.651106,-122.14289,164231,J1772,
2816 W Winton Ave,Hayward,94545,Public,24 hours daily,,2,,,37.651053,-122.142781,164232,J1772,
268 N. Main St,Porteville,93257,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,1,,,36.070233,-119.01581,164249,J1772,
326 Broadway,San Diego,92101,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,1,,,32.716068,-117.161533,164261,J1772,
538 S NORMANDIE AVE,Los Angeles,90020,Public,24 hours daily,,1,,,34.064652,-118.300288,164279,J1772,
4915 N BALBOA BLVD,Los Angeles,91316,Public,24 hours daily,,1,,,34.159757,-118.501206,164280,J1772,
3900 Sisk Road,Modesto,95356,Public,24 hours daily; for Tesla use only,,,12,,37.694635,-121.064213,164282,TESLA,SHOPPING_CENTER
72027 CA-111,Rancho Mirage,92270,Public,24 hours daily,,2,,,33.73509,-116.408325,164295,J1772,
1351 Pioneer Square,Brentwood,94513,Public,24 hours daily,,2,,,37.8969,-121.719558,164296,J1772,
6653 3rd St,San Francisco,94158,Public,24 hours daily,,2,,,37.773115,-122.389011,164320,J1772,
3851 lakewood Blvd,Long Beach,90846,Public,24 hours daily,,2,,,33.829361,-118.143111,164353,J1772,
4150 E McGowen St,Long Beach,90846,Public,24 hours daily,,2,,,33.829866,-118.145001,164354,J1772,
4250 E Carson St,Long Beach,90846,Public,24 hours daily,,2,,,33.83108,-118.144175,164355,J1772,
282 S Hill St,Los Angeles,90012,Public,24 hours daily,,1,,,34.052198,-118.248472,164366,J1772,
2260 University Drive,Newport Beach,92660,Public,24 hours daily,,6,,,33.653957,-117.883834,164368,J1772,
320 NOVA ALBION WAY,SAN RAFAEL,94903,Public,24 hours daily,,16,,,37.999232,-122.552077,164428,J1772,
620 Main St,Half Moon Bay,94019,Public,24 hours daily,,1,3,,37.462112,-122.429835,164429,CHADEMO J1772 J1772COMBO,
400 E Seaside Way,Long Beach,90802,Public,24 hours daily,,2,,,33.765167,-118.187721,164446,J1772,
20 Gills Station Road,Olancha,93549,Public,24 hours daily,,,4,,36.04731,-117.945662,164458,CHADEMO J1772COMBO,
9741 South Enos Lane,Bakersfield,93311,Public,24 hours daily,,,4,,35.266528,-119.252961,164459,CHADEMO J1772COMBO,
4001 Branch Center Rd,Sacramento,95827,Public,24 hours daily,,1,,,38.548461,-121.337132,164489,J1772,
1700 S Harbor Blvd,Anaheim,92802,Public,24 hours daily,,2,,,33.806441,-117.914704,164490,J1772,
3625 Cahuenga Blvd,Los Angeles,90068,Public,24 hours daily,,1,,,34.134504,-118.36019,164511,J1772,
22 E Victoria St,Santa Barbara,93101,Public,24 hours daily,,2,,,34.424635,-119.704698,164519,J1772,
21 E Anapamu St,Santa Barbara,93101,Public,24 hours daily,,2,,,34.424251,-119.704082,164520,J1772,
1506 E Mountain Dr,Santa Barbara,93108,Public,24 hours daily,,2,,,34.424422,-119.704418,164521,J1772,
2174 Rheem Dr,Pleasanton,94588,Private,8am-5pm M-F,,2,,,37.686207,-121.87566,164547,J1772,OFFICE_BLDG
2118 Rheem Dr,Pleasanton,94588,Private,8am-5pm M-F,,2,,,37.684095,-121.873285,164548,J1772,OFFICE_BLDG
2126 Rheem Dr,Pleasanton,94588,Private,8am-5pm M-F,,2,,,37.684383,-121.873615,164549,J1772,OFFICE_BLDG
2950 Auto Mall Pkwy,Fairfield,94533,Public,8am-6pm daily,,4,,,38.242091,-122.084677,164550,J1772,CAR_DEALER
17115 Bollinger Canyon Dr,San Ramon,94582,Public,24 hours daily,,6,,,37.7527729,-121.910712,164551,J1772,MULTI_UNIT_DWELLING
911 Soquel Avenue,Santa Cruz,95062,Public,24 hours daily; for Tesla use only,,,16,,36.979026,-122.013846,164552,TESLA,GROCERY
8451 Elk Grove Boulevard,Elk Grove,95758,Public,24 hours daily; for Tesla use only,,,16,,38.409356,-121.391,164553,TESLA,SHOPPING_CENTER
99 Golden Shore,Long Beach,90802,Public,24 hours daily,,2,,,33.76354,-118.196695,164578,J1772,
630 Court St,Martinez,94553,Public,24 hours daily,,1,,,38.018407,-122.13443,164597,J1772,
110 E La Habra Blvd,La Habra,90631,Public,24 hours daily,,,1,,33.931289,-117.945239,164598,CHADEMO J1772COMBO,
4740 Green River Rd,Corona,92880,Public,24 hours daily,,2,,,33.877579,-117.660006,164601,J1772,
355 Berry St,San Francisco,94158,Public,24 hours daily,,2,,,37.772633,-122.397095,164605,J1772,
401 W Hillcrest Dr,Thousand Oaks,91360,Private,,,4,,,34.185757,-118.886029,164622,J1772,NATL_PARK
1575 Grant Street,Concord,94520,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,1,,,37.973353,-122.031921,164624,J1772,
10860 Gold Center Drive,Rancho Cordova,95670,Public,24 hours daily,,5,2,,38.590543,-121.28041,164649,CHADEMO J1772 J1772COMBO,
6441 Holman Rd,Stockton,95212,Private,Service center use only,,2,,,38.018189,-121.271691,164678,J1772,CAR_DEALER
275 N. Moorpark Rd.,Thousand Oaks,91360,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,2,,,34.184008,-118.877536,164719,J1772,
841 Washington Blvd,Montebello,90640,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,2,,,33.994733,-118.118267,164781,J1772,
500 Pine Street,San Francisco,94108,Public,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,,1,,,37.7919436,-122.4045169,164786,J1772,
560 Canal St,King City,93930,Public,24 hours daily,,2,,,36.205332,-121.132978,164788,J1772,
2310 Tienda Dr,Lodi,95242,Public,24 hours daily,,2,,,38.116936,-121.303007,164789,J1772,
801 N. First Street,San Jose,95110,Public,24 hours daily,,2,,,37.35142,-121.904346,164816,J1772,
12777 W. Jefferson Blvd,Los Angeles,90066,Private,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,6,,,33.97804,-118.418169,164846,J1772,
3350 Mission Street,San Francisco,94110,Public,24 hours daily,,1,3,,37.742905,-122.422034,164871,CHADEMO J1772 J1772COMBO,
2355 W Kettlement Ln,Lodi,95242,Public,24 hours daily,,2,,,38.117022,-121.302941,165047,J1772,PARKING_LOT
876 W Donlon St EV,Blythe,92225,Public,24 hours daily,,2,,,33.605657,-114.606334,165060,J1772,
2800 Naglee Rd,Tracy,95304,Public,24 hours daily,,2,,,37.756821,-121.458631,165061,J1772,
11011 Huston St,Los Angeles,91601,Public,24 hours daily,,1,,,34.160367,-118.370894,165089,J1772,
1870 Dockery Ave,Selma,93662,Private,Fleet use only,,3,,,36.559846,-119.601316,165096,J1772,MUNI_GOV
1325 Nebraska Ave,Selma,93662,Private,Fleet use only,,,2,,36.5615,-119.603151,165097,J1772COMBO,MUNI_GOV
1100 Valley View Ave,Selma,93662,Private,Fleet use only,,,4,,36.558185,-119.611343,165098,J1772COMBO,MUNI_GOV
1705 S Anchor Ave,Orange Cove,93646,Private,Fleet vehicles only,,,1,,36.697064,-119.308784,165099,J1772COMBO,MUNI_GOV
1701 Santa Rita Road,Pleasanton,94566,Public,24 hours daily,,,3,,37.675541,-121.874907,165116,CHADEMO J1772COMBO,
910 Eastlake Parkway,Chula Vista,91914,Public,24 hours daily; for Tesla use only,,,12,,32.64921,-116.967639,165121,TESLA,SHOPPING_MALL
1717 Embarcadero,Oakland,94606,Public,24 hours daily; for customer use only,,2,,,37.785814,-122.246167,165130,J1772,HOTEL
8200 Gateway Blvd,Newark,94560,Public,24 hours daily; for customer use only,,2,,,37.536001,-122.06293,165131,J1772,HOTEL
39802 Cedar Blvd,Newark,94560,Public,24 hours daily; for customer use only; see front desk for access,,1,,,37.520821,-121.995755,165132,J1772,HOTEL
1020 Main St,St. Helena,94574,Public,24 hours daily; guest use only,,2,,,38.502957,-122.464762,165133,J1772,HOTEL
254 Saint Helena Hwy,St. Helena,94574,Public,24 hours daily,,2,,,38.491639,-122.451981,165134,J1772,BREWERY_DISTILLERY_WINERY
849 Zinfandel Ln,St. Helena,94574,Public,24 hours daily,,1,,,38.482734,-122.4354,165135,J1772,BREWERY_DISTILLERY_WINERY
6245 Topanga Canyon,Woodland Hills,91367,Public,6am-12am daily,,2,,,34.184239,-118.606605,165159,J1772,SHOPPING_CENTER
860 Spectrum Center Dr,Irvine,92618,Public,24 hours daily,,1,,,33.64945,-117.743996,165169,J1772,
2350 Noriega St.,San Francisco,94122,Public,24 hours daily,,,4,,37.753967,-122.488667,165184,CHADEMO J1772COMBO,
334 W D St,Lemoore,93245,Public,24 hours daily,,2,,,36.302126,-119.786016,165194,J1772,
300 Richards Blvd,Sacramento,95811,Private,Fleet vehicles only,,32,,,38.597026,-121.5,165210,J1772,MUNI_GOV
401 I St,Sacramento,95814,Private,Reserved for Community Careshare fleet,,2,,,38.583732,-121.500983,165211,J1772,PARKING_LOT
44090 Co Rd 28H,Woodland,95776,Public,24 hours daily,,2,,,38.591042,-121.691473,165216,J1772,
330 S Cedros Ave,Solana Beach,92075,Public,24 hours daily,,2,,,32.988721,-117.269702,165217,J1772,
10421 Laurel Canyon Blvd,Los Angeles,91331,Public,24 hours daily,,1,,,34.259347,-118.432873,165239,J1772,
3856 Crenshaw Blvd,Los Angeles,90008,Public,24 hours daily,,1,,,34.015726,-118.334977,165240,J1772,
4947 Huntington Dr N,Los Angeles,90032,Public,24 hours daily,,1,,,34.08753,-118.175698,165241,J1772,
7796 Foothill Blvd,Los Angeles,91042,Public,24 hours daily,,1,,,34.25859,-118.302398,165242,J1772,
2260 W Washington Blvd,Los Angeles,90018,Public,24 hours daily,,1,,,34.039842,-118.311084,165243,J1772,
5501 Vineland Ave,Los Angeles,91601,Public,24 hours daily,,1,,,34.170437,-118.370491,165244,J1772,
19662 Nordhoff St,Los Angeles,91324,Public,24 hours daily,,1,,,34.235369,-118.561866,165245,J1772,
15705 Vanowen St,Los Angeles,91406,Public,24 hours daily,,1,,,34.194397,-118.475069,165246,J1772,
9365 Laurel Canyon Blvd,Los Angeles,91331,Public,24 hours daily,,1,,,34.239218,-118.411611,165247,J1772,
18498 Plummer St,Los Angeles,91325,Public,24 hours daily,,1,,,34.242673,-118.535569,165248,J1772,
6763 Wilbur Ave,Los Angeles,91335,Public,24 hours daily,,1,,,34.193181,-118.54493,165249,J1772,
6501 Fountain Ave,Los Angeles,90028,Public,24 hours daily,,1,,,34.094383,-118.330583,165250,J1772,
1674 Lomita Blvd,Los Angeles,90710,Public,24 hours daily,,1,,,33.797702,-118.306903,165251,J1772,
7301 Crenshaw Blvd,Los Angeles,90043,Public,24 hours daily,,1,,,33.97325,-118.331002,165252,J1772,
4849 Laurel Canyon Blvd,Los Angeles,91607,Public,24 hours daily,,1,,,34.159136,-118.396657,165253,J1772,
615 W Jefferson Blvd,Los Angeles,90007,Public,24 hours daily,,1,,,34.022369,-118.280715,165254,J1772,
3016 Washington Blvd,Marina del Rey,90292,Public,24 hours daily,,1,,,33.989295,-118.450365,165256,J1772,
560 Hilgard Ave,Los Angeles,90024,Public,24 hours daily,,1,,,34.070551,-118.438572,165257,J1772,
10104 Compton Ave,Los Angeles,90002,Public,24 hours daily,,1,,,33.944812,-118.246128,165258,J1772,
101-115 E 4th St,Los Angeles,90013,Public,24 hours daily,,1,,,34.047854,-118.246847,165260,J1772,
21480 Yorba Linda Blvd.,Yorba Linda,92887,Public,24 hours daily,,1,3,,33.877825,-117.750567,165278,CHADEMO J1772 J1772COMBO,
7007 Romaine Street,Los Angeles,90038,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,4,,,34.089131,-118.342207,165295,J1772,
5801 Sterling St,Dublin,94568,Public,24 hours daily,,,1,,37.70789,-121.89932,165299,CHADEMO J1772COMBO,
4070 W 3rd St,Los Angeles,90020,Public,24 hours daily,,1,,,34.06908001,-118.3022622,165319,J1772,
CA-299,Douglas City,96024,Public,24 hours daily,,,1,,40.666924,-122.943794,165330,CHADEMO J1772COMBO,
615 Normandie ave,Los Angeles,90005,Public,24 hours daily,,1,,,34.06277807,-118.3004353,165343,J1772,
323 Martin Ave,Santa Clara,95050,Public,24 hours daily; for member use only; see front desk for access,,1,,,37.360605,-121.934799,165352,J1772,OFFICE_BLDG
969 E Caribbean Dr,Sunnyvale,94089,Public,24 hours daily,,2,,,37.41531,-122.000148,165362,J1772,
12046 Clark St,Moreno Valley,92557,Public,24 hours daily,,2,,,33.945409,-117.287201,165385,J1772,
1600 Vine St.,Los Angeles,90028,Public,24 hours daily,,2,,,34.100254,-118.325349,165386,J1772,
Rosendo Vela Acosta St. Bldg.#9,Carolina,00987,Public,24 hours daily,,2,,,18.375312,-65.973635,165407,J1772,
48400 Seminole Dr.,Cabazon,92230,Public,24 hours daily,,,4,,33.926768,-116.811303,165415,CHADEMO J1772COMBO,
601 Van Ness Avenue,San Francisco,94102,Public,24 hours daily; for Tesla use only,,,12,,37.781445,-122.421319,165417,TESLA,OTHER_ENTERTAINMENT
5050 Clark Ave,Lakewood,90712,Public,24 hours daily,,1,,,33.850313,-118.133123,165474,J1772,
6603 Betty Dr,Visalia,93291,Public,24 hours daily,,2,,,36.35407,-119.42636,165475,J1772,
942 Hartle Ct,Napa,94559,Public,24 hours daily,,2,,,38.283565,-122.281082,165478,J1772,
Napa Valley Vine Trail Trailhead at Hartle Co,Hartle Ct,94559,Public,24 hours daily,,1,,,38.283406,-122.280979,165479,J1772,
Hartle Ct,Napa,94559,Public,24 hours daily,,2,,,38.283301,-122.281035,165480,J1772,
Napa Valley Vine Trail Trailhead at Hartle Co,Napa,94559,Public,24 hours daily,,2,,,38.283254,-122.281035,165481,J1772,
200 Hartle Ct,Napa,94559,Public,24 hours daily,,1,,,38.283483,-122.279952,165482,J1772,
6620 Atlantic Ave,Long Beach,90805,Public,24 hours daily,,2,,,33.875003,-118.185817,165483,J1772,
13487 Camino Canada,El Cajon,92021,Public,24 hours daily,,,6,,32.822992,-116.900673,165515,CHADEMO J1772COMBO,
6060 Sepulveda Blvd,Van Nuys,91411,Private,,,16,,,34.179965,-118.46533,165529,J1772,BANK
444 E Ducommun St,Los Angeles,90012,Private,,,20,,,34.052494,-118.23696,165531,J1772,OFFICE_BLDG
1145 Bates Ave,Los Angeles,90029,Public,24 hours daily,,1,,,34.094996,-118.28245,165532,J1772,STANDALONE_STATION
5898 Venice Blvd,Los Angeles,90019,Private,,,5,,,34.039648,-118.368149,165533,J1772,MUNI_GOV
Unnamed Road,Hornbrook,96044,Public,24 hours daily,,,1,,41.85129,-122.570908,165551,CHADEMO J1772COMBO,
787 Montague Rd,Yreka,96097,Public,24 hours daily,,,1,,41.737495,-122.623505,165552,CHADEMO J1772COMBO,
6480 East pacific coast hwy,Long Beach,90803,Public,24 hours daily,,2,,,33.755444,-118.109828,165553,J1772,
4800 El Camino Real,Los Altos,94022,Public,24 hours daily; for Tesla use only,,,16,,37.399071,-122.111216,165580,TESLA,
901 Bayfront Ct,San Diego,92101,Public,,,4,,,32.716728,-117.171787,165587,J1772,
11325 Santa Monica Blvd,Los Angles,90025,Public,,,2,,,34.04653,-118.44939,165595,J1772,
627 Deep Valley Drive,Rolling Hills Estates,90274,Public,,,11,,,33.77149,-118.37144,165597,J1772,
1995 Agua Mansa Rd.,Riverside,92509,Public,,,4,,,34.02068,-117.38737,165599,J1772,
4215 Glencoe Ave,Marina del Rey,90292,Public,,,4,,,33.99358,-118.44497,165605,J1772,
1400 B Grand Ave,Sacramento,95838,Public,,,8,,,38.63475,-121.43475,165609,J1772,
56711 Twentynine Palms Highway,Yucca Valley,92284,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,2,,,34.119925,-116.4266,165614,J1772,
Interstate 5 & rte 96,Hornbrook,96044,Public,24 hours daily,,,1,,41.851264,-122.571013,165620,CHADEMO J1772COMBO,
181 Oyster Point Blvd,South San Francisco,94080,Public,24 hours daily,,2,,,37.664242,-122.390561,165622,J1772,
1380 W 6th St,Corona,92882,Public,24 hours daily,,,1,,33.877601,-117.592357,165623,CHADEMO J1772COMBO,
46331 W Panoche Road,Firebaugh,93622,Public,24 hours daily,,,6,,36.637692,-120.625603,165642,CHADEMO J1772COMBO,
71808 Baker Blvd,Baker,92309,Public,24 hours daily,,,12,,35.262261,-116.081101,165658,CHADEMO J1772COMBO,
